epoch,train_loss,train_acc,val_loss,val_acc
1,4.610344,0.036638,4.160291,0.060345
2,4.215654,0.058908,3.980654,0.077586
3,3.953813,0.066092,3.820216,0.107759
4,3.766570,0.086207,3.698461,0.120690
5,3.533266,0.104885,3.567423,0.116379
6,3.475575,0.099856,3.499488,0.125000
7,3.360329,0.135776,3.377139,0.163793
8,3.276003,0.147989,3.365487,0.146552
9,3.147646,0.153736,3.235454,0.163793
10,3.070497,0.166667,3.156443,0.163793
11,2.985259,0.196839,3.096639,0.206897
12,2.964997,0.208333,3.088090,0.172414
13,2.811610,0.237069,2.954822,0.224138
14,2.804116,0.239943,2.928231,0.219828
15,2.787758,0.239224,2.879736,0.258621
16,2.745719,0.252155,2.903672,0.241379
17,2.740293,0.263649,2.844767,0.262931
18,2.691374,0.269397,2.826829,0.275862
19,2.677015,0.276580,2.823395,0.293103
20,2.664409,0.294540,2.823386,0.288793
