epoch,train_loss,train_acc,val_loss,val_acc
1,4.556127,0.045259,4.160636,0.068966
2,4.123861,0.059626,4.076126,0.073276
3,3.993480,0.083333,3.824320,0.103448
4,3.762092,0.082615,3.713301,0.099138
5,3.629597,0.091954,3.741118,0.094828
6,3.477106,0.110632,3.490055,0.137931
7,3.467817,0.119253,3.500796,0.125000
8,3.379766,0.129310,3.443457,0.112069
9,3.283846,0.130747,3.385761,0.146552
10,3.162095,0.168822,3.306965,0.150862
11,3.074179,0.168822,3.202013,0.176724
12,2.971784,0.171695,3.126896,0.181034
13,2.954646,0.201149,3.101375,0.181034
14,2.911119,0.203305,2.959551,0.228448
15,2.776042,0.232040,2.935530,0.232759
16,2.778279,0.247845,2.930580,0.241379
17,2.663785,0.255747,2.868576,0.262931
18,2.621530,0.278017,2.828728,0.262931
19,2.563269,0.283046,2.789918,0.250000
20,2.528681,0.317529,2.753691,0.275862
21,2.540450,0.304598,2.746473,0.314655
22,2.486528,0.337644,2.679007,0.310345
23,2.494262,0.306034,2.646912,0.323276
24,2.453304,0.326868,2.641500,0.336207
25,2.365307,0.373563,2.623749,0.353448
26,2.462249,0.339799,2.616822,0.331897
27,2.410232,0.359195,2.607069,0.336207
28,2.380537,0.368534,2.593376,0.344828
29,2.442836,0.346983,2.591957,0.357759
30,2.397984,0.362787,2.590406,0.357759
