epoch,train_loss,train_acc,val_loss,val_acc
1,2.754666,0.103245,2.583900,0.107639
2,2.588646,0.101770,2.639988,0.123264
3,2.525889,0.119838,2.479988,0.135417
4,2.505546,0.117994,2.512758,0.133681
5,2.498153,0.130162,2.464511,0.149306
6,2.444345,0.140855,2.441076,0.163194
7,2.420519,0.166298,2.419321,0.170139
8,2.382849,0.165929,2.357860,0.194444
9,2.345788,0.182891,2.324397,0.215278
10,2.333063,0.207965,2.296096,0.222222
11,2.302433,0.202434,2.260662,0.241319
12,2.278044,0.214602,2.266259,0.215278
13,2.240390,0.237832,2.231138,0.250000
14,2.216833,0.245944,2.246529,0.255208
15,2.204591,0.251106,2.221109,0.253472
16,2.177410,0.261062,2.209823,0.244792
17,2.191814,0.249263,2.198201,0.250000
18,2.153527,0.261062,2.180245,0.267361
19,2.158266,0.270649,2.173041,0.255208
20,2.156454,0.265118,2.171944,0.248264
