epoch,train_loss,train_acc,val_loss,val_acc
1,2.718632,0.105088,2.570088,0.081597
2,2.557263,0.118732,2.558982,0.104167
3,2.502183,0.128319,2.511863,0.125000
4,2.521644,0.113569,2.486039,0.149306
5,2.466200,0.136799,2.432239,0.163194
6,2.444709,0.145280,2.468758,0.161458
7,2.440650,0.144912,2.383364,0.213542
8,2.391228,0.176622,2.407812,0.194444
9,2.380517,0.173673,2.328527,0.178819
10,2.328996,0.196165,2.335434,0.217014
11,2.311036,0.203171,2.311892,0.232639
12,2.299380,0.208333,2.280622,0.222222
13,2.315318,0.211652,2.271006,0.213542
14,2.273707,0.221239,2.268460,0.227431
15,2.241782,0.245944,2.257081,0.246528
16,2.234857,0.230088,2.237632,0.248264
17,2.189122,0.249263,2.239151,0.246528
18,2.196823,0.251106,2.199640,0.246528
19,2.162573,0.261062,2.223056,0.256944
20,2.156872,0.263274,2.202580,0.248264
21,2.142594,0.273230,2.216390,0.263889
22,2.133017,0.272861,2.140054,0.274306
23,2.135574,0.280236,2.166212,0.260417
24,2.114558,0.281711,2.144935,0.272569
25,2.110804,0.279130,2.156364,0.265625
26,2.117988,0.276549,2.139715,0.284722
27,2.100136,0.293879,2.137646,0.281250
28,2.117739,0.283555,2.137996,0.269097
29,2.072082,0.296460,2.136628,0.272569
30,2.107002,0.283186,2.136782,0.270833
