epoch,train_loss,train_acc,val_loss,val_acc
1,1.756370,0.400524,1.111314,0.454918
2,1.090275,0.534031,0.889709,0.581967
3,0.970627,0.604712,0.868510,0.586066
4,0.945260,0.595986,0.850763,0.635246
5,0.960943,0.595986,0.839088,0.610656
6,0.913412,0.627400,0.756015,0.651639
7,0.835964,0.639616,0.766360,0.622951
8,0.843938,0.657068,0.819480,0.668033
9,0.797661,0.669284,0.735321,0.709016
10,0.745190,0.693717,0.742855,0.692623
11,0.723971,0.714660,0.757678,0.692623
12,0.707230,0.717277,0.646785,0.725410
13,0.694207,0.712042,0.668650,0.704918
14,0.653435,0.755672,0.677606,0.692623
15,0.615976,0.758290,0.686879,0.717213
16,0.641897,0.755672,0.613847,0.782787
17,0.584487,0.772251,0.592860,0.737705
18,0.553203,0.787958,0.663068,0.741803
19,0.594530,0.767888,0.661027,0.725410
20,0.540046,0.791449,0.665626,0.741803
21,0.536663,0.801047,0.577463,0.795082
22,0.500209,0.808901,0.497788,0.823770
23,0.542860,0.796684,0.613509,0.750000
24,0.507517,0.812391,0.503271,0.819672
25,0.476806,0.821117,0.520251,0.831967
26,0.496474,0.821990,0.529790,0.815574
27,0.488887,0.833333,0.546143,0.815574
28,0.481959,0.828098,0.534844,0.819672
29,0.419583,0.844677,0.531089,0.819672
30,0.529277,0.812391,0.530681,0.819672
