epoch,train_loss,train_acc,val_loss,val_acc
1,1.687854,0.225509,1.640237,0.195198
2,1.558665,0.271720,1.291059,0.526349
3,1.471952,0.332487,1.435995,0.306517
4,1.409852,0.370551,1.152252,0.576551
5,1.377769,0.391519,1.228785,0.599626
6,1.332935,0.424307,1.207058,0.559401
7,1.275861,0.462638,1.108869,0.525413
8,1.219371,0.493890,1.167710,0.536639
9,1.181251,0.513790,1.015847,0.571874
10,1.156389,0.529816,0.924268,0.641721
11,1.138516,0.535826,1.086200,0.560649
12,1.096162,0.560467,0.933404,0.621765
13,1.096916,0.559533,0.920193,0.638915
14,1.044900,0.584307,0.863993,0.673838
15,1.047672,0.580568,0.899517,0.650452
16,1.037420,0.589382,0.867307,0.674462
17,1.018420,0.593322,0.847621,0.685064
18,1.012895,0.595793,0.829762,0.682569
19,1.008300,0.600735,0.830097,0.691300
20,1.004396,0.596327,0.827535,0.688182
