epoch,train_loss,train_acc,val_loss,val_acc
1,1.712029,0.223439,1.670406,0.106330
2,1.573585,0.270184,1.375585,0.330527
3,1.494990,0.324407,1.359713,0.454942
4,1.448801,0.344841,1.230537,0.521048
5,1.402740,0.368948,1.242031,0.443405
6,1.379222,0.388381,1.210685,0.499220
7,1.349043,0.409082,1.223120,0.523230
8,1.333223,0.423639,1.200947,0.538510
9,1.314605,0.435058,1.311286,0.393514
10,1.273661,0.469249,1.315225,0.449641
11,1.226848,0.485943,1.045713,0.581540
12,1.209644,0.496294,1.012314,0.584970
13,1.181673,0.511853,1.032361,0.610539
14,1.170124,0.520334,0.935471,0.633302
15,1.155677,0.530751,0.930774,0.647334
16,1.140222,0.531085,0.986781,0.593078
17,1.127906,0.543973,0.886808,0.654506
18,1.102123,0.552988,0.933938,0.643904
19,1.086808,0.561937,1.171197,0.537886
20,1.075064,0.568414,0.870982,0.662613
21,1.076644,0.568013,0.814170,0.702214
22,1.056260,0.579900,0.940916,0.619894
23,1.019020,0.594858,0.859824,0.657936
24,1.025497,0.591853,0.836579,0.692859
25,1.027828,0.589716,0.986883,0.614905
26,1.002929,0.600868,0.907787,0.653882
27,1.002910,0.598598,0.900766,0.653258
28,0.985958,0.609750,0.794398,0.700343
29,0.980480,0.611820,0.879691,0.663237
30,0.974211,0.610351,0.844059,0.677268
31,0.958793,0.626578,0.854602,0.666355
32,0.954501,0.627112,0.840843,0.674462
33,0.945107,0.627379,0.836019,0.674462
34,0.948604,0.625710,0.845298,0.676957
35,0.934287,0.633723,0.818907,0.683193
36,0.928915,0.631987,0.825973,0.682569
37,0.941731,0.631252,0.793879,0.701590
38,0.931248,0.632855,0.818045,0.695978
39,0.938445,0.631319,0.811211,0.695978
40,0.921503,0.638331,0.809296,0.697848
