epoch,train_loss,train_acc,val_loss,val_acc
1,1.386777,0.466553,0.967612,0.616613
2,0.832471,0.632082,0.712705,0.717252
3,0.658769,0.690444,0.714434,0.725240
4,0.575340,0.730034,0.502158,0.790735
5,0.505950,0.770307,0.477296,0.790735
6,0.474957,0.782935,0.443685,0.827476
7,0.403590,0.840614,0.463581,0.822684
8,0.396622,0.840614,0.374416,0.857827
9,0.383402,0.855973,0.416563,0.827476
10,0.358745,0.862457,0.459400,0.814696
11,0.352658,0.861775,0.448363,0.846645
12,0.317154,0.877133,0.342767,0.875399
13,0.295675,0.894539,0.326678,0.872204
14,0.302254,0.885666,0.301315,0.881789
15,0.290254,0.894881,0.325745,0.888179
16,0.290407,0.888055,0.282534,0.888179
17,0.314852,0.880887,0.319292,0.880192
18,0.282821,0.891468,0.275596,0.889776
19,0.245266,0.909556,0.232820,0.907348
20,0.253030,0.898976,0.282470,0.886581
21,0.243714,0.903413,0.260605,0.904153
22,0.229135,0.913311,0.237642,0.907348
23,0.230851,0.915017,0.293171,0.888179
24,0.220529,0.915700,0.237568,0.905751
25,0.230996,0.916041,0.231883,0.908946
26,0.226594,0.912287,0.238972,0.912141
27,0.213981,0.916382,0.204562,0.931310
28,0.224617,0.911945,0.190357,0.928115
29,0.204699,0.924232,0.209291,0.913738
30,0.210476,0.919454,0.209903,0.908946
31,0.197744,0.921502,0.189295,0.932907
32,0.193809,0.922184,0.206585,0.926518
33,0.193180,0.926621,0.202561,0.921725
34,0.187070,0.926621,0.208117,0.916933
35,0.192876,0.925256,0.198256,0.916933
36,0.178623,0.934130,0.190025,0.920128
37,0.176290,0.931741,0.191073,0.921725
38,0.186485,0.927645,0.192872,0.921725
39,0.186745,0.929010,0.191111,0.921725
40,0.168749,0.939932,0.190030,0.923323
