dataset,bs,epochs,accuracy,top1,top3,top5,precision,recall,specificity,f1,auc_macro,kappa
apple,16,5,0.6852589641434262,0.6852589641434262,0.9641434262948207,1.0,0.714473385427102,0.7015355039445967,0.9188594039954385,0.6873050711720788,nan,0.600865539452496
apple,16,10,0.7888446215139442,0.7888446215139442,0.9840637450199203,1.0,0.8067102962646976,0.7970041138071824,0.9456612545008142,0.8010201501890496,nan,0.7325062334110835
apple,32,10,0.6733067729083665,0.6733067729083665,0.9442231075697212,1.0,0.6947786229116153,0.6884914195958938,0.9158187254175459,0.6774358400140628,nan,0.5857252123505494
apple,32,20,0.7808764940239044,0.7808764940239044,0.9840637450199203,1.0,0.8297358197358197,0.7942634286358897,0.9436678797068515,0.7955583969869684,nan,0.7228356890459364
apple,48,20,0.7330677290836654,0.7330677290836654,0.9681274900398407,1.0,0.7789546508258476,0.7461732800266961,0.931171848716347,0.737229014778532,nan,0.6616229702810922
apple,48,30,0.8326693227091634,0.8326693227091634,0.9800796812749004,1.0,0.8551803919001484,0.8501082131596365,0.9568928697636281,0.8499368348187246,nan,0.7886061481080431
apple,64,30,0.8446215139442231,0.8446215139442231,0.9840637450199203,1.0,0.8767670977573454,0.8554005868534029,0.95991939530309,0.8589671353738474,nan,0.8034218928851136
apple,64,40,0.8605577689243028,0.8605577689243028,0.9800796812749004,1.0,0.8723964315012307,0.8744469393506181,0.9642635095946132,0.8718878383127899,nan,0.82390201856195
plant_village,16,5,0.5054824561403509,0.5054824561403509,0.7642543859649122,0.8410087719298246,0.5150572108219947,0.5054824561403507,0.9866346609656552,0.47133906792898456,nan,0.49211711711711703
plant_village,16,10,0.6732456140350878,0.6732456140350878,0.875,0.9276315789473685,0.6985636766453759,0.6732456140350878,0.9911688003681647,0.6597975119005509,nan,0.6644144144144144
plant_village,32,10,0.6162280701754386,0.6162280701754386,0.8048245614035088,0.8892543859649122,0.6537253052122255,0.6162280701754387,0.9896277856692725,0.5972799588344938,nan,0.6058558558558558
