epoch,train_loss,train_acc,val_loss,val_acc
1,3.476907,0.092105,3.116132,0.113636
2,3.159288,0.120904,2.855203,0.181818
3,2.936798,0.175770,2.643729,0.263158
4,2.600558,0.250497,2.275331,0.372010
5,2.391277,0.302383,2.148374,0.364833
6,2.220570,0.357746,1.867935,0.429426
7,2.021843,0.397219,1.689971,0.478469
8,1.889775,0.429245,1.575206,0.541866
9,1.769099,0.475422,1.482332,0.539474
10,1.660214,0.489821,1.465139,0.544258
11,1.533023,0.531529,1.392361,0.575359
12,1.544684,0.529295,1.267325,0.612440
13,1.416179,0.564052,1.248121,0.599282
14,1.392873,0.575223,1.201392,0.618421
15,1.290615,0.605263,1.081444,0.674641
16,1.242511,0.616187,1.097542,0.660287
17,1.180482,0.644737,1.011109,0.685407
18,1.145040,0.652185,0.955531,0.703349
19,1.095629,0.669067,0.911968,0.715311
20,1.069588,0.673287,0.899386,0.735646
21,1.001152,0.688431,0.839619,0.747608
22,0.945248,0.709037,0.815558,0.753589
23,0.934027,0.707795,0.798724,0.757177
24,0.869195,0.744786,0.794464,0.763158
25,0.867670,0.736346,0.766551,0.765550
26,0.873006,0.735104,0.748297,0.776316
27,0.794192,0.759682,0.732581,0.778708
28,0.809822,0.756703,0.739764,0.769139
29,0.806224,0.757448,0.739352,0.767943
30,0.795840,0.765392,0.734454,0.770335
