epoch,train_loss,train_acc,val_loss,val_acc
1,1.512459,0.433012,1.087919,0.578178
2,0.992876,0.584096,0.808611,0.678290
3,0.732729,0.706265,0.690934,0.722160
4,0.549214,0.773494,0.447135,0.830146
5,0.440880,0.816867,0.524639,0.773903
6,0.399155,0.840482,0.468724,0.797525
7,0.409232,0.833253,0.347815,0.878515
8,0.285702,0.887711,0.304723,0.883015
9,0.266640,0.899518,0.322027,0.880765
10,0.268332,0.899518,0.217706,0.921260
11,0.245104,0.910843,0.262821,0.910011
12,0.193261,0.933253,0.199938,0.921260
13,0.166174,0.939036,0.155371,0.929134
14,0.139380,0.947952,0.212784,0.926884
15,0.120390,0.956627,0.127173,0.952756
16,0.136860,0.953494,0.174380,0.948256
17,0.100332,0.963614,0.141105,0.940382
18,0.093234,0.967229,0.106703,0.971879
19,0.057918,0.981687,0.081444,0.970754
20,0.054887,0.982410,0.090804,0.964004
21,0.043319,0.985542,0.034777,0.993251
22,0.054725,0.978795,0.059963,0.976378
23,0.033720,0.989398,0.124377,0.952756
24,0.038472,0.986988,0.040287,0.986502
25,0.021091,0.992289,0.036465,0.985377
26,0.020744,0.995181,0.048923,0.983127
27,0.011851,0.997108,0.014593,0.997750
28,0.005314,0.999518,0.009804,0.997750
29,0.004633,0.999759,0.009202,0.998875
30,0.004162,0.999759,0.009620,0.997750
31,0.003396,0.999518,0.011394,0.994376
32,0.002191,1.000000,0.005164,0.998875
33,0.003111,0.999518,0.015736,0.993251
34,0.002458,0.999759,0.010013,0.996625
35,0.002003,1.000000,0.006871,0.998875
36,0.001736,1.000000,0.007739,0.998875
37,0.001817,1.000000,0.008606,0.998875
38,0.001666,1.000000,0.007465,0.998875
39,0.002167,1.000000,0.008008,0.998875
40,0.001845,1.000000,0.008132,0.998875
